구분,원자량,Feed 농도,Org Feed,Aq Feed,Ini. pH,Fin. pH,10%NaOH 투입량,10%NaOH 투입량,10%H2SO4 투입량,10%H2SO4 투입량,Fin. Aq. Vol.,Fin. O/A,Conc. in Aq.,Conc. In Org,Feed 농도,,,,
,g/mol,g/L,mL,mL,,,g,ml,g,ml,mL,,mg/L,mg/L,g/L,,,,
Mn,54.9381,5,50,500,2.13,2.3,2.15,1.98,,0,501.98,0.1,5048,6373,5.683,,,,
,54.9381,50,50,500,2.11,2.3,2.77,2.55,,0,502.55,0.099,54285.3,9023.68,55.183,,,,
,54.9381,100,50,500,1.96,2.31,4.79,4.41,,0,504.41,0.099,107229.09,10499.46,108.27,,,,
Cu,63.546,5,50,500,2.21,2.8,6.49,5.98,,0,505.98,0.099,4181,12807,5.447,,,,
,63.546,15,50,500,2.19,2.79,8.11,7.47,,0,507.47,0.099,14235.83,14995.04,15.713,,,,
,63.546,30,50,500,2.16,2.8,9.57,8.82,,0,508.82,0.098,30816.27,17021.92,32.489,,,,
Co,58.9332,5,50,500,2.59,4.5,14.2,13.09,,0,513.09,0.097,3529,22850,5.756,,,,
,58.9332,50,50,500,2.43,4.5,18.55,17.1,,0,517.1,0.097,54230.09,25328.09,56.679,,,,
,58.9332,100,50,500,2.33,4.5,19.04,17.55,,0,517.55,0.097,102855.98,25523.96,105.322,,,,
Ni,58.6934,5,50,500,2.72,5.5,15.93,14.68,,0,514.68,0.097,2854,21520,4.945,,,,
,58.6934,65,50,500,2.6,5.51,19.79,18.24,,0,518.24,0.096,64603.01,20426.48,66.574,,,,
,58.6934,130,50,500,2.39,5.51,27.36,25.22,,0,525.22,0.095,130780.38,18488.35,132.54,,,,
Mg,24.305,5,50,500,2.47,3.51,6.37,5.87,,,505.87,0.099,4722,3782,5.096,,,,
,24.305,15,50,500,2.45,3.5,7.71,7.11,,0,507.11,0.099,16070,4882,16.551,,,,
,24.305,30,50,500,2.39,3.51,8.58,7.91,,0,507.91,0.098,32353,5505,32.895,,,,
Zn,65.38,5,50,500,1.63,1.5,,,5.21,4.97,504.97,0.099,3899,14052,5.29,,,,
,65.38,15,50,500,1.66,1.51,,0,8.03,7.65,507.65,0.098,15128.89,19397.73,17.039,,,,
,65.38,30,50,500,1.72,1.51,,0,10.38,9.9,509.9,0.098,32802.8,21257.45,34.887,,,,
Ca,40.078,0.1,50,500,2.28,1.8,,0,3.79,3.61,503.61,0.099,37,451,0.082,,,,
,40.078,0.2,50,500,2.2,1.79,,0,3.42,3.26,503.26,0.099,88,857,0.173,,,,
,40.078,0.3,50,500,2.04,1.8,,0,3.23,3.08,503.08,0.099,144,1532,0.296,,,,
Li,6.941,5,50,500,2.77,5.99,12.75,11.75,,0,511.75,0.098,4522.95,3957.21,4.91,,,,
,6.941,15,50,500,2.75,6,13,11.98,,0,511.98,0.098,14649.8,4612.5,15.1,,,,
,6.941,30,50,500,2.61,6.02,13.3,12.26,,0,512.26,0.098,32143.99,5307.9,32.662,,,,
Al,26.9815,5,50,500,1.92,1.98,1.7,1.57,,0,501.57,0.1,4856.63,3372.94,5.193,,,,
,26.9815,15,50,500,2.14,1.99,,0,1,0.95,500.95,0.1,15905.7,3672.76,16.272,,,,
,26.9815,30,50,500,2.36,2,,0,4.75,4.53,504.53,0.099,31600.42,6215.05,32.216,,,,
